"Nom_com";"id_insee";"annee";"PO";"LP";"LH";"LC";"Autres";"totalRP";"PO_coll";"LP_coll";"LH_coll";"LC_coll";"Autres_coll";"total_RP_coll";"PO_ind";"LP_ind";"LH_ind";"LC_ind";"Autres_ind";"total_RP_ind";"PO_1_piece";"LP_1_piece";"LH_1_piece";"LC_1_piece";"Autres_1_piece";"total_RP_1_piece";"PO_2_pieces";"LP_2_pieces";"LH_2_pieces";"LC_2_pieces";"Autres_2_pieces";"total_RP_2_pieces";"PO_3_pieces";"LP_3_pieces";"LH_3_pieces";"LC_3_pieces";"Autres_3_pieces";"total_RP_3_pieces";"PO_4_pieces";"LP_4_pieces";"LH_4_pieces";"LC_4_pieces";"Autres_4_pieces";"total_RP_4_pieces";"PO_5_pieces";"LP_5_pieces";"LH_5_pieces";"LC_5_pieces";"Autres_5_pieces";"total_RP_5_pieces";"PO_6et+_pieces";"LP_6et+_pieces";"LH_6et+_pieces";"LC_6et+_pieces";"Autres_6et+_pieces";"total_RP_6et+_pieces";"PO_nbpi_ecart_type";"LP_nbpi_ecart_type";"LH_nbpi_ecart_type";"LC_nbpi_ecart_type";"Autres_nbpi_ecart_type";"total_RP_nbpi_ecart_type";"PO_nbpi_moyenne";"LP_nbpi_moyenne";"LH_nbpi_moyenne";"LC_nbpi_moyenne";"Autres_nbpi_moyenne";"total_RP_nbpi_moyenne";"PO_nbpi_mediane";"LP_nbpi_mediane";"LH_nbpi_mediane";"LC_nbpi_mediane";"Autres_nbpi_mediane";"total_RP_nbpi_mediane";"PO_<9m²";"LP_<9m²";"LH_<9m²";"LC_<9m²";"Autres_<9m²";"total_RP_<9m²";"PO_10-20m²";"LP_10-20m²";"LH_10-20m²";"LC_10-20m²";"Autres_10-20m²";"total_RP_10-20m²";"PO_20-35m²";"LP_20-35m²";"LH_20-35m²";"LC_20-35m²";"Autres_20-35m²";"total_RP_20-35m²";"PO_35-54m²";"LP_35-54m²";"LH_35-54m²";"LC_35-54m²";"Autres_35-54m²";"total_RP_35-54m²";"PO_55-74m²";"LP_55-74m²";"LH_55-74m²";"LC_55-74m²";"Autres_55-74m²";"total_RP_55-74m²";"PO_75-94m²";"LP_75-94m²";"LH_75-94m²";"LC_75-94m²";"Autres_75-94m²";"total_RP_75-94m²";"PO_>94m²";"LP_>94m²";"LH_>94m²";"LC_>94m²";"Autres_>94m²";"total_RP_>94m²";"PO_surfh_ecart_type";"LP_surfh_ecart_type";"LH_surfh_ecart_type";"LC_surfh_ecart_type";"Autres_surfh_ecart_type";"total_RP_surfh_ecart_type";"PO_surfh_moyenne";"LP_surfh_moyenne";"LH_surfh_moyenne";"LC_surfh_moyenne";"Autres_surfh_moyenne";"total_RP_surfh_moyenne";"PO_surfh_mediane";"LP_surfh_mediane";"LH_surfh_mediane";"LC_surfh_mediane";"Autres_surfh_mediane";"total_RP_surfh_mediane";"PO_<1915";"LP_<1915";"LH_<1915";"LC_<1915";"Autres_<1915";"total_RP_<1915";"PO_1915-1948";"LP_1915-1948";"LH_1915-1948";"LC_1915-1948";"Autres_1915-1948";"total_RP_1915-1948";"PO_1949-1967";"LP_1949-1967";"LH_1949-1967";"LC_1949-1967";"Autres_1949-1967";"total_RP_1949-1967";"PO_1968-1974";"LP_1968-1974";"LH_1968-1974";"LC_1968-1974";"Autres_1968-1974";"total_RP_1968-1974";"PO_1975-1981";"LP_1975-1981";"LH_1975-1981";"LC_1975-1981";"Autres_1975-1981";"total_RP_1975-1981";"PO_1982-1989";"LP_1982-1989";"LH_1982-1989";"LC_1982-1989";"Autres_1982-1989";"total_RP_1982-1989";"PO_1990-1998";"LP_1990-1998";"LH_1990-1998";"LC_1990-1998";"Autres_1990-1998";"total_RP_1990-1998";"PO_>1998";"LP_>1998";"LH_>1998";"LC_>1998";"Autres_>1998";"total_RP_>1998";"PO_acons_ecart_type";"LP_acons_ecart_type";"LH_acons_ecart_type";"LC_acons_ecart_type";"Autres_acons_ecart_type";"total_RP_acons_ecart_type";"PO_acons_moyenne";"LP_acons_moyenne";"LH_acons_moyenne";"LC_acons_moyenne";"Autres_acons_moyenne";"total_RP_acons_moyenne";"PO_acons_mediane";"LP_acons_mediane";"LH_acons_mediane";"LC_acons_mediane";"Autres_acons_mediane";"total_RP_acons_mediane";"PO_ss_conf";"LP_ss_conf";"LH_ss_conf";"LC_ss_conf";"Autres_ss_conf";"total_RP_ss_conf";"PO_conf_partiel";"LP_conf_partiel";"LH_conf_partiel";"LC_conf_partiel";"Autres_conf_partiel";"total_RP_conf_partiel";"PO_tout_conf";"LP_tout_conf";"LH_tout_conf";"LC_tout_conf";"Autres_tout_conf";"total_RP_tout_conf";"PO_cc_1-4";"LP_cc_1-4";"LH_cc_1-4";"LC_cc_1-4";"Autres_cc_1-4";"total_RP_cc_1-4";"PO_cc_5";"LP_cc_5";"LH_cc_5";"LC_cc_5";"Autres_cc_5";"total_RP_cc_5";"PO_cc_6";"LP_cc_6";"LH_cc_6";"LC_cc_6";"Autres_cc_6";"total_RP_cc_6";"PO_cc7-8";"LP_cc7-8";"LH_cc7-8";"LC_cc7-8";"Autres_cc7-8";"total_RP_cc7-8"
"Canari";"2B058";2019;"82";"35";"s";"s";"s";152;"34";"s";"s";"s";"s";"83";"48";"s";"s";"s";"s";"69";"s";"s";"0";"0";"s";"12";"s";"11";"0";"0";"s";"23";"22";"s";"s";"s";"0";"35";"25";"s";"s";"s";"s";"53";"s";"0";"s";"s";"0";"16";"s";"s";"0";"0";"s";"13";"2";"1";"1";"s";"s";2;"4";"3";"4";"s";"s";"4";"4";"3";"4";"s";"s";4;"0";"0";"0";0;0;"0";"0";"s";"0";"0";"0";"s";"s";"s";"0";"0";"s";"s";"14";"s";"s";"0";"s";"39";"16";"s";"s";"s";"s";"36";"s";"s";"0";"s";"s";"21";"s";"s";"0";"0";"s";"37";"47";"25";"6";"s";"s";41;"84";"56";"55";"s";"s";74;"78";"54";"53";"s";"s";63;"36";"s";"0";"s";"s";"66";"s";"s";"0";"0";"0";"s";"s";"s";"s";"s";"s";"26";"s";"0";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"s";"s";"0";"s";"s";"21";"s";"s";"0";"0";"0";"s";"s";"s";"0";"s";"0";"21";"79";"82";"2";"s";"s";81;"1920";"1882";"1963";"s";"s";1917;"1932";"1870";"1962";"s";"s";1958;"s";"s";"0";"0";"0";"s";"59";"s";"s";"s";"s";"124";"s";"0";"0";"s";"s";"s";"0";"0";"0";"0";"0";"0";"42";"s";"0";"s";"s";"s";"s";"s";"s";"s";"s";"84";"s";"0";"0";"0";"0";"s"
"Canavaggia";"2B059";2019;"34";"s";"0";"0";"s";57;"s";"s";"0";"0";"s";"15";"s";"s";"0";"0";"s";"42";"s";"s";"0";"0";"s";"s";"s";"s";"0";"0";"0";"13";"s";"s";"0";"0";"s";"13";"s";"s";"0";"0";"s";"20";"s";"s";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"1";"s";".";".";"s";1;"3";"s";".";".";"s";"3";"3";"s";".";".";"s";3;"0";"0";"0";0;0;"0";"s";"s";"0";"0";"s";"s";"s";"s";"0";"0";"0";"s";"s";"s";"0";"0";"s";"s";"s";"s";"0";"0";"s";"s";"s";"s";"0";"0";"0";"s";"s";"s";"0";"0";"0";"18";"39";"s";".";".";"s";38;"76";"s";".";".";"s";69;"79";"s";".";".";"s";63;"s";"s";"0";"0";"s";"22";"0";"0";"0";"0";"0";"0";"s";"s";"0";"0";"s";"s";"0";"0";"0";"0";"0";"0";"0";"s";"0";"0";"0";"s";"s";"s";"0";"0";"0";"s";"s";"s";"0";"0";"0";"s";"s";"s";"0";"0";"0";"22";"60";"s";".";".";"s";62;"1955";"s";".";".";"s";1953;"1983";"s";".";".";"s";1982;"s";"s";"0";"0";"s";"11";"22";"s";"0";"0";"s";"33";"s";"s";"0";"0";"0";"13";"0";"0";"0";"0";"0";"0";"s";"s";"0";"0";"0";"s";"s";"s";"0";"0";"s";"30";"0";"s";"0";"0";"0";"s"
"Carcheto-Brustico";"2B063";2019;"s";"s";"0";"s";"s";13;"s";"s";"0";"s";"s";"s";"s";"s";"0";"s";"s";"s";"0";"0";"0";"0";"0";"0";"s";"s";"0";"0";"0";"s";"s";"0";"0";"s";"s";"s";"s";"0";"0";"0";"0";"s";"s";"s";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"s";"s";".";"s";"s";2;"s";"s";".";"s";"s";"4";"s";"s";".";"s";"s";4;"0";"0";"0";0;0;"0";"0";"0";"0";"0";"0";"0";"s";"0";"0";"0";"0";"s";"s";"s";"0";"s";"s";"s";"s";"0";"0";"0";"0";"s";"0";"0";"0";"0";"0";"0";"s";"s";"0";"0";"0";"s";"s";"s";".";"s";"s";50;"s";"s";".";"s";"s";80;"s";"s";".";"s";"s";65;"s";"s";"0";"s";"s";"s";"0";"s";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"s";"0";"0";"0";"s";"s";"s";".";"s";"s";159;"s";"s";".";"s";"s";1734;"s";"s";".";"s";"s";1650;"s";"0";"0";"s";"0";"s";"s";"s";"0";"0";"s";"s";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"s";"s";"0";"0";"0";"s";"s";"s";"0";"s";"s";"s";"0";"0";"0";"0";"0";"0"
"Carpineto";"2B067";2019;"s";"s";"0";"0";"s";19;"s";"s";"0";"0";"s";"s";"s";"s";"0";"0";"s";"s";"s";"0";"0";"0";"0";"s";"s";"0";"0";"0";"s";"s";"s";"s";"0";"0";"0";"s";"0";"0";"0";"0";"0";"0";"s";"0";"0";"0";"0";"s";"s";"s";"0";"0";"0";"s";"s";"s";".";".";"s";1;"s";"s";".";".";"s";"3";"s";"s";".";".";"s";2;"0";"0";"0";0;0;"0";"s";"0";"0";"0";"0";"s";"s";"0";"0";"0";"s";"s";"s";"s";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"s";"s";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"s";"s";".";".";"s";24;"s";"s";".";".";"s";46;"s";"s";".";".";"s";42;"s";"s";"0";"0";"0";"s";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"s";"0";"0";"0";"s";"s";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"s";"s";".";".";"s";105;"s";"s";".";".";"s";1792;"s";"s";".";".";"s";1770;"s";"s";"0";"0";"0";"s";"s";"s";"0";"0";"s";"s";"s";"s";"0";"0";"0";"s";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"s";"s";"0";"0";"s";"s";"s";"0";"0";"0";"0";"s"
"Carticasi";"2B068";2019;"s";"s";"0";"s";"0";13;"s";"s";"0";"s";"0";"s";"s";"s";"0";"s";"0";"s";"0";"0";"0";"0";"0";"0";"s";"s";"0";"0";"0";"s";"s";"s";"0";"s";"0";"s";"s";"0";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"s";"s";".";"s";".";1;"s";"s";".";"s";".";"3";"s";"s";".";"s";".";3;"0";"0";"0";0;0;"0";"0";"0";"0";"0";"0";"0";"s";"0";"0";"0";"0";"s";"s";"s";"0";"s";"0";"s";"0";"s";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"s";"s";".";"s";".";33;"s";"s";".";"s";".";56;"s";"s";".";"s";".";42;"s";"s";"0";"s";"0";"s";"s";"0";"0";"0";"0";"s";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"s";"s";".";"s";".";84;"s";"s";".";"s";".";1806;"s";"s";".";"s";".";1800;"s";"s";"0";"s";"0";"s";"s";"s";"0";"0";"0";"s";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"s";"0";"0";"0";"0";"s";"s";"s";"0";"0";"0";"s";"s";"s";"0";"s";"0";"s"
"Casabianca";"2B069";2019;"15";"s";"0";"s";"s";31;"s";"s";"0";"s";"s";"s";"s";"s";"0";"s";"s";"s";"s";"0";"0";"s";"0";"s";"s";"0";"0";"s";"0";"s";"s";"0";"0";"s";"0";"s";"s";"0";"0";"s";"s";"s";"s";"s";"0";"s";"s";"s";"s";"s";"0";"0";"0";"s";"2";"s";".";"s";"s";2;"4";"s";".";"s";"s";"4";"3";"s";".";"s";"s";4;"0";"0";"0";0;0;"0";"s";"0";"0";"0";"0";"s";"s";"0";"0";"s";"0";"s";"s";"0";"0";"s";"0";"s";"s";"s";"0";"s";"s";"s";"0";"0";"0";"s";"s";"s";"s";"s";"0";"s";"0";"s";"43";"s";".";"s";"s";52;"71";"s";".";"s";"s";81;"66";"s";".";"s";"s";68;"s";"s";"0";"s";"s";"19";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"s";"0";"0";"0";"0";"s";"0";"0";"0";"0";"0";"0";"s";"0";"0";"0";"0";"s";"0";"0";"0";"s";"0";"s";"s";"0";"0";"s";"s";"s";"126";"s";".";"s";"s";119;"1876";"s";".";"s";"s";1877;"1900";"s";".";"s";"s";1900;"s";"0";"0";"s";"s";"s";"s";"s";"0";"s";"0";"20";"s";"0";"0";"s";"s";"s";"0";"0";"0";"0";"0";"0";"s";"s";"0";"s";"s";"s";"s";"s";"0";"s";"0";"19";"s";"s";"0";"0";"s";"s"
"Casalta";"2B072";2019;"s";"s";"0";"s";"s";22;"s";"s";"0";"s";"s";"s";"s";"s";"0";"s";"s";"s";"0";"0";"0";"0";"0";"0";"s";"0";"0";"0";"0";"s";"s";"s";"0";"s";"0";"s";"s";"0";"0";"0";"s";"s";"s";"s";"0";"0";"0";"s";"0";"s";"0";"0";"0";"s";"s";"s";".";"s";"s";1;"s";"s";".";"s";"s";"3";"s";"s";".";"s";"s";3;"0";"0";"0";0;0;"0";"s";"0";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"s";"s";"0";"s";"0";"s";"s";"0";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"s";"s";"0";"0";"s";"s";"s";"s";".";"s";"s";31;"s";"s";".";"s";"s";59;"s";"s";".";"s";"s";54;"s";"s";"0";"0";"0";"s";"0";"0";"0";"0";"0";"0";"s";"0";"0";"s";"0";"s";"0";"0";"0";"0";"0";"0";"s";"0";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"0";"0";"0";"0";"s";"s";"s";"s";".";"s";"s";129;"s";"s";".";"s";"s";1854;"s";"s";".";"s";"s";1875;"s";"s";"0";"0";"0";"s";"s";"s";"0";"s";"s";"s";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"s";"0";"0";"0";"s";"s";"s";"s";"0";"s";"0";"s";"s";"s";"0";"0";"0";"s"
"Casamaccioli";"2B073";2019;"46";"s";"0";"0";"s";63;"s";"s";"0";"0";"s";"32";"s";"s";"0";"0";"s";"31";"s";"s";"0";"0";"0";"12";"s";"s";"0";"0";"s";"14";"s";"s";"0";"0";"s";"13";"s";"0";"0";"0";"s";"11";"s";"s";"0";"0";"s";"s";"s";"0";"0";"0";"0";"s";"2";"s";".";".";"s";2;"3";"s";".";".";"s";"3";"3";"s";".";".";"s";3;"0";"0";"0";0;0;"0";"s";"s";"0";"0";"0";"s";"s";"s";"0";"0";"0";"s";"s";"s";"0";"0";"s";"15";"s";"0";"0";"0";"s";"s";"s";"0";"0";"0";"s";"s";"s";"s";"0";"0";"s";"20";"46";"s";".";".";"s";45;"76";"s";".";".";"s";70;"63";"s";".";".";"s";60;"19";"s";"0";"0";"s";"31";"s";"0";"0";"0";"0";"s";"s";"0";"0";"0";"s";"s";"s";"0";"0";"0";"0";"s";"s";"s";"0";"0";"s";"s";"s";"0";"0";"0";"0";"s";"s";"s";"0";"0";"0";"s";"s";"0";"0";"0";"s";"s";"89";"s";".";".";"s";86;"1926";"s";".";".";"s";1918;"1939";"s";".";".";"s";1928;"s";"s";"0";"0";"s";"17";"s";"s";"0";"0";"s";"35";"s";"s";"0";"0";"s";"11";"0";"0";"0";"0";"0";"0";"s";"s";"0";"0";"s";"26";"s";"s";"0";"0";"s";"22";"s";"s";"0";"0";"s";"15"
"Casanova";"2B074";2019;"104";"46";"0";"s";"s";166;"s";"s";"0";"s";"s";"76";"s";"s";"0";"s";"s";"90";"s";"s";"0";"0";"s";"16";"s";"13";"0";"s";"s";"29";"22";"s";"0";"s";"s";"41";"s";"s";"0";"s";"s";"45";"s";"s";"0";"0";"0";"22";"s";"s";"0";"0";"0";"13";"1";"2";".";"s";"s";2;"4";"3";".";"s";"s";"4";"4";"2";".";"s";"s";3;"0";"0";"0";0;0;"0";"s";"s";"0";"0";"s";"s";"s";"s";"0";"s";"s";"18";"s";"s";"0";"s";"s";"s";"14";"s";"0";"s";"s";"31";"s";"s";"0";"s";"s";"26";"s";"s";"0";"0";"0";"69";"41";"74";".";"s";"s";54;"103";"70";".";"s";"s";90;"105";"58";".";"s";"s";83;"s";"s";"0";"0";"s";"26";"s";"s";"0";"0";"s";"s";"s";"s";"0";"0";"s";"s";"s";"0";"0";"0";"s";"s";"s";"s";"0";"0";"s";"s";"s";"s";"0";"s";"s";"27";"s";"s";"0";"s";"0";"25";"39";"s";"0";"0";"s";"61";"40";"40";".";"s";"s";39;"1977";"1979";".";"s";"s";1978;"1989";"1994";".";"s";"s";1990;"s";"s";"0";"0";"s";"s";"58";"34";"0";"s";"s";"104";"s";"s";"0";"s";"s";"s";"0";"0";"0";"0";"0";"0";"s";"s";"0";"s";"s";"121";"s";"19";"0";"s";"s";"s";"0";"s";"0";"0";"0";"s"
"Casevecchie";"2B075";2019;"s";"s";"0";"0";"s";18;"s";"s";"0";"0";"s";"s";"s";"s";"0";"0";"s";"s";"0";"0";"0";"0";"s";"s";"s";"s";"0";"0";"0";"s";"s";"s";"0";"0";"0";"s";"s";"s";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"s";"s";".";".";"s";1;"s";"s";".";".";"s";"3";"s";"s";".";".";"s";3;"0";"0";"0";0;0;"0";"0";"0";"0";"0";"0";"0";"0";"s";"0";"0";"s";"s";"s";"s";"0";"0";"0";"s";"s";"s";"0";"0";"0";"s";"0";"0";"0";"0";"0";"0";"s";"0";"0";"0";"0";"s";"s";"s";".";".";"s";38;"s";"s";".";".";"s";74;"s";"s";".";".";"s";61;"s";"s";"0";"0";"s";"s";"s";"0";"0";"0";"0";"s";"0";"s";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"0";"s";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"s";"s";".";".";"s";58;"s";"s";".";".";"s";1955;"s";"s";".";".";"s";1973;"s";"0";"0";"0";"s";"s";"s";"s";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"0";"0";"0";"0";"0";"0";"s";"0";"0";"0";"0";"s";"s";"s";"0";"0";"0";"s";"s";"s";"0";"0";"s";"s"
"Castellare-di-Casinca";"2B077";2019;"179";"98";"0";"s";"s";290;"s";"s";"0";"s";"s";"126";"s";"s";"0";"s";"s";"164";"s";"s";"0";"0";"s";"21";"24";"s";"0";"s";"0";"45";"37";"s";"0";"s";"s";"70";"60";"s";"0";"s";"s";"93";"s";"s";"0";"0";"s";"39";"s";"s";"0";"0";"s";"22";"1";"1";".";"s";"s";1;"4";"3";".";"s";"s";"4";"4";"3";".";"s";"s";4;"0";"0";"0";0;0;"0";"s";"s";"0";"0";"0";"s";"s";"s";"0";"0";"s";"s";"s";"17";"0";"s";"s";"35";"s";"28";"0";"0";"s";"58";"s";"23";"0";"s";"s";"48";"98";"s";"0";"s";"s";"120";"48";"40";".";"s";"s";47;"102";"72";".";"s";"s";91;"100";"66";".";"s";"s";83;"38";"s";"0";"0";"s";"70";"s";"0";"0";"0";"0";"s";"s";"s";"0";"s";"s";"19";"s";"s";"0";"s";"s";"s";"s";"s";"0";"0";"s";"24";"s";"s";"0";"0";"0";"23";"s";"s";"0";"0";"0";"23";"69";"s";"0";"s";"0";"114";"94";"106";".";"s";"s";99;"1950";"1944";".";"s";"s";1944;"1987";"1994";".";"s";"s";1986;"s";"s";"0";"0";"s";"s";"128";"s";"0";"s";"s";"221";"s";"s";"0";"0";"s";"s";"0";"0";"0";"0";"0";"0";"148";"s";"0";"0";"s";"230";"s";"s";"0";"s";"s";"s";"s";"s";"0";"0";"0";"s"
"Castellare-di-Mercurio";"2B078";2019;"s";"s";"0";"s";"s";13;"s";"s";"0";"s";"s";"s";"s";"s";"0";"s";"s";"s";"0";"s";"0";"s";"0";"s";"0";"0";"0";"0";"s";"s";"s";"s";"0";"s";"0";"s";"s";"s";"0";"s";"0";"s";"0";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"s";"s";"s";".";"s";"s";2;"s";"s";".";"s";"s";"4";"s";"s";".";"s";"s";4;"0";"0";"0";0;0;"0";"0";"0";"0";"s";"0";"s";"0";"s";"0";"0";"s";"s";"s";"s";"0";"0";"0";"s";"s";"s";"0";"s";"0";"s";"s";"0";"0";"0";"0";"s";"0";"0";"0";"0";"s";"s";"s";"s";".";"s";"s";38;"s";"s";".";"s";"s";66;"s";"s";".";"s";"s";60;"s";"s";"0";"s";"s";"s";"0";"0";"0";"0";"0";"0";"0";"s";"0";"0";"0";"s";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"s";"s";"0";"0";"0";"0";"s";"s";"s";".";"s";"s";67;"s";"s";".";"s";"s";1903;"s";"s";".";"s";"s";1900;"s";"s";"0";"s";"s";"s";"s";"s";"0";"s";"s";"s";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"s";"s";"0";"s";"s";"s";"s";"s";"0";"s";"s";"s"
"Castello-di-Rostino";"2B079";2019;"146";"38";"s";"s";"s";206;"31";"s";"s";"s";"s";"66";"115";"s";"s";"s";"s";"140";"s";"s";"0";"0";"s";"12";"s";"s";"s";"s";"s";"25";"28";"s";"s";"s";"s";"50";"59";"s";"s";"s";"s";"78";"s";"s";"s";"0";"0";"30";"s";"s";"0";"0";"0";"11";"2";"1";"s";"s";"s";2;"4";"3";"s";"s";"s";"4";"4";"3";"s";"s";"s";4;"0";"0";"0";0;0;"0";"s";"s";"0";"0";"s";"s";"s";"s";"0";"0";"0";"s";"s";"s";"s";"s";"s";"22";"20";"s";"s";"s";"s";"39";"s";"s";"0";"s";"s";"37";"79";"s";"s";"s";"0";"92";"40";"38";"s";"s";"s";40;"98";"77";"s";"s";"s";90;"99";"71";"s";"s";"s";88;"34";"11";"0";"s";"s";"56";"s";"s";"0";"0";"0";"18";"s";"s";"0";"0";"0";"s";"s";"s";"0";"0";"0";"s";"s";"0";"0";"0";"s";"s";"s";"s";"0";"0";"0";"15";"s";"0";"0";"0";"s";"14";"65";"s";"s";"s";"0";"88";"77";"91";"s";"s";"s";79;"1956";"1936";"s";"s";"s";1952;"1994";"1969";"s";"s";"s";1989;"s";"s";"0";"0";"s";"20";"105";"25";"s";"s";"s";"148";"s";"s";"0";"0";"0";"38";"0";"0";"0";"0";"0";"0";"97";"s";"s";"s";"s";"124";"s";"s";"0";"s";"s";"s";"s";"s";"0";"s";"s";"s"
"Castifao";"2B080";2019;"40";"s";"0";"s";"s";69;"s";"s";"0";"s";"s";"21";"s";"s";"0";"s";"s";"48";"s";"s";"0";"0";"0";"s";"s";"s";"0";"s";"0";"11";"s";"s";"0";"0";"0";"18";"s";"s";"0";"s";"s";"20";"s";"s";"0";"0";"s";"s";"s";"s";"0";"0";"s";"s";"2";"s";".";"s";"s";1;"3";"s";".";"s";"s";"3";"3";"s";".";"s";"s";3;"0";"0";"0";0;0;"0";"0";"0";"0";"0";"0";"0";"s";"s";"0";"0";"0";"s";"s";"s";"0";"s";"0";"s";"s";"s";"0";"0";"s";"11";"s";"s";"0";"0";"s";"14";"s";"s";"0";"s";"s";"25";"50";"s";".";"s";"s";43;"92";"s";".";"s";"s";83;"86";"s";".";"s";"s";80;"17";"s";"0";"s";"s";"28";"0";"s";"0";"0";"0";"s";"s";"s";"0";"0";"s";"s";"s";"s";"0";"0";"s";"s";"s";"0";"0";"0";"0";"s";"s";"s";"0";"0";"0";"s";"s";"s";"0";"0";"s";"s";"s";"s";"0";"0";"s";"11";"100";"s";".";"s";"s";87;"1930";"s";".";"s";"s";1934;"1969";"s";".";"s";"s";1970;"s";"s";"0";"0";"0";"s";"s";"s";"0";"s";"s";"55";"s";"0";"0";"0";"s";"s";"0";"0";"0";"0";"0";"0";"24";"s";"0";"s";"s";"35";"16";"s";"0";"s";"s";"34";"0";"0";"0";"0";"0";"0"
"Castiglione";"2B081";2019;"s";"s";"0";"0";"0";NA;"s";"s";"0";"0";"0";"s";"s";"s";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"s";"s";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"s";"s";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"0";"0";"0";"0";"0";"0";"s";"s";".";".";".";1;"s";"s";".";".";".";"3";"s";"s";".";".";".";3;"0";"0";"0";0;0;"0";"0";"0";"0";"0";"0";"0";"s";"0";"0";"0";"0";"s";"s";"s";"0";"0";"0";"s";"s";"s";"0";"0";"0";"s";"s";"s";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"s";"s";".";".";".";35;"s";"s";".";".";".";69;"s";"s";".";".";".";56;"s";"s";"0";"0";"0";"s";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"s";"0";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"s";"s";".";".";".";82;"s";"s";".";".";".";1883;"s";"s";".";".";".";1900;"0";"0";"0";"0";"0";"0";"s";"s";"0";"0";"0";"s";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"s";"s";"0";"0";"0";"s";"s";"s";"0";"0";"0";"s";"0";"0";"0";"0";"0";"0"
